index,model,mean,std,min,max,count
0,gpt,0.5031345922913816,0.1242873715186079,0.09253457933664322,0.7227447628974915,90
1,jimeng,0.6047637194395066,0.09511557267522223,0.32846853137016296,0.8533453941345215,90
