index,model,mean,std,min,max,count
0,gpt,0.3129757359623909,0.02295208129355505,0.2673313021659851,0.37531253695487976,60
1,jimeng,0.31568021774291993,0.023263651941616042,0.2591603398323059,0.364961177110672,60
